coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N_google_news,N_twitter,hype,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc,alpha_top10
eos,11 Jun 2017,26 Jun 2017,15.0,351.0,1,blockchain,4,185000000.0,N/A,N/A,0.99,59922,57,N/A,0.7,0.02,13613000,0.185,0.085,1.348,1.309,0.073,1.3,0.014,0.015
iota,24 Nov 2017,20 Dec 2017,26.0,174.0,12,saas,N/A,N/A,N/A,N/A,N/A,2,6,N/A,0.32,0.0,25425600,-0.204,0.116,1.84,1.766,0.063,0.238,0.007,0.007
tron,07 Sep 2017,08 Sep 2017,1.0,277.0,3,blockchain,1,70000000.0,70000000.0,1.0,0.0019,98258,31,N/A,0.62,0.046,48512,0.152,0.098,1.553,1.504,-0.068,1.778,0.024,0.023
neo,8 Aug 2017,7 Sep 2017,30.0,278.0,3,blockchain,16,28056944.0,N/A,N/A,0.03,4,31,321507,0.76,17.616,1349,0.118,0.083,1.323,1.292,0.039,-0.194,0.016,0.004
qtum,12 Mar 2017,17 Mar 2017,5.0,452.0,7,blockchain,18,15000000.0,15000000.0,1.0,0.3,14019,7,166979,N/A,19.633,11221600,0.231,0.064,1.017,0.961,0.064,0.801,0.008,0.004
omisego,23 Jun 2017,23 Jul 2017,30.0,324.0,7,fintech,5,25000000.0,25000000.0,1.0,0.23,N/A,11,280247,N/A,1.533,750698,0.366,0.305,4.848,4.865,-0.064,-1.489,0.015,-0.003
icon,22 Sep 2017,22 Sep 2017,0.0,263.0,8,transportation,30,42750000.0,42750000.0,1.0,0.11,21112,30,105777,0.5,3.519,71509,0.341,0.319,5.064,5.083,-0.084,-1.012,0.015,-0.001
zilliqa,27 Dec 2017,04 Jan 2018,8.0,159.0,12,blockchain,N/A,22000000.0,22000000.0,1.0,0.0038,30496,4,N/A,0.74,34.8,4921770,-0.363,-0.136,-2.16,-2.121,-0.363,-2.199,0.001,0.012
aeternity,29 May 2017,19 Jun 2017,21.0,358.0,5,saas,15,24426689.0,N/A,N/A,0.28,N/A,4,274,N/A,1.484,1518,0.392,0.092,1.467,1.481,0.027,-1.259,0.016,0.007
0x,15 Aug 2017,15 Sep 2017,31.0,270.0,1,saas,6,24000000.0,24000000.0,1.0,0.07,N/A,7,45526,N/A,2.206,5232600,0.233,0.128,2.036,2.055,-0.252,-1.115,0.014,0.006
bytom,20 Jun 2017,20 Jul 2017,30.0,327.0,3,saas,7,22554000.0,N/A,N/A,0.05,N/A,2,18061,N/A,1.256,7543670,0.182,0.051,0.814,0.833,-0.083,-3.081,0.012,0.005
verge,15 Jun 2016,15 Jul 2016,30.0,697.0,12,blockchain,N/A,N/A,N/A,N/A,N/A,36832,0,N/A,N/A,0.0,707,0.072,0.106,1.677,1.689,-0.284,0.11,0.027,-0.0
augur,17 Aug 2015,1 Oct 2015,45.0,985.0,1,saas,13,5000000.0,6250000.0,0.8,0.6,N/A,0,436,N/A,1.45,728,0.107,0.148,2.346,2.399,0.025,-1.715,0.008,0.0
golem,13 Nov 2016,13 Nov 2016,0.0,576.0,5,saas,15,8000000.0,8000000.0,1.0,0.01,748,0,140633,N/A,61.499,27557000,0.025,0.196,0.391,0.444,0.116,1.359,-0.012,-0.012
wanchain,01 Oct 2017,01 Nov 2017,31.0,223.0,3,other,31,35990000.0,35990000.0,1.0,0.34,46807,0,105673,0.54,11.382,189439000,0.181,0.06,0.948,1.052,-0.525,-4.67,-0.002,-0.029
populous,24 Jul 2017,24 Jul 2017,0.0,323.0,4,fintech,5,10220400.0,1022040000.0,0.01,0.25,N/A,0,23384,0.82,12.32,2704070,0.203,0.109,1.733,1.784,-0.054,-5.265,0.011,-0.024
status,20 Jun 2017,20 Jun 2017,0.0,357.0,6,saas,12,10000000.0,N/A,N/A,0.04,N/A,0,102960,N/A,0.404,13747700,-0.213,0.044,0.699,0.752,0.152,-1.878,0.007,-0.018
aion,24 Nov 2017,24 Dec 2017,30.0,170.0,12,other,8,N/A,N/A,N/A,1.0,11445,0,70317,N/A,-0.374,20958,0.115,0.215,3.413,3.452,-0.122,-2.5,0.016,-0.024
nebulas,8 Dec 2017,16 Dec 2017,8.0,180.0,1,saas,14,60000000.0,60000000.0,1.0,2.0,12168,2,23073,N/A,1.17,995797,-0.168,0.167,2.648,2.604,-0.129,-1.016,0.009,0.01
digixdao,29 Mar 2016,30 Mar 2016,1.0,804.0,7,saas,N/A,55000004.0,N/A,N/A,4.2,N/A,0,15491,N/A,6.543,1900,-0.043,-0.006,-0.091,-0.026,0.035,1.002,0.006,-0.018
loopring,1 Aug 2017,16 Aug 2017,15.0,300.0,3,saas,3,45000000.0,45000000.0,1.0,0.06,N/A,0,42433,0.6,0.747,200829,-0.054,0.123,1.952,2.006,-0.146,-3.389,0.013,-0.02
komodo,15 Oct 2016,16 Nov 2016,32.0,573.0,12,saas,N/A,1983781.0,N/A,N/A,0.38,N/A,0,90460,N/A,-0.708,22487,0.024,0.119,1.887,1.9,0.001,-1.632,0.021,-0.016
ark,05 Nov 2016,09 Dec 2016,34.0,550.0,12,blockchain,N/A,22000000.0,N/A,N/A,0.1,45,0,N/A,N/A,-0.657,133793,0.321,0.267,4.231,4.287,-0.159,-2.578,0.016,-0.025
bancor,12 Jun 2017,12 Jun 2017,0.0,365.0,12,saas,12,15300000.0,N/A,N/A,3.92,6745,0,846,N/A,4.097,16871,-0.158,-0.06,-0.946,-0.881,-0.005,-2.709,0.001,-0.013
cryptonex,01 Sep 2017,30 Sep 2017,29.0,255.0,12,other,N/A,N/A,N/A,N/A,N/A,2273,0,N/A,N/A,0.0,79554,-0.029,0.119,1.897,1.957,-0.237,-2.54,0.008,-0.016
elastos,01 Jan 2018,22 Jan 2018,21.0,141.0,3,other,51,94073200.0,94073200.0,1.0,18.09,17300,0,23153,0.62,1.259,33745700,0.185,-0.021,-0.326,-0.242,-0.423,0.297,0.001,-0.013
