age,region,industry,hardcap,raised,telegram,team,N_google_news,price,ret_ico_to_day_one
347,1,0,125383150.31178431,185000000.0,58506.0,4.0,2.0,0.99,0.02
170,12,4,34566584.30097836,13881450.0,2.0,11.78575519762246,3.0,0.9121706080373091,0.0
273,3,0,70000000.0,70000000.0,99358.0,1.0,1.0,0.0019,0.046
274,3,0,42227032.326398775,28056944.0,4.0,16.0,2.0,0.03,17.616
448,7,0,15000000.0,15000000.0,14064.0,18.0,1.0,0.3,19.633
320,7,2,25000000.0,25000000.0,16916.23900268034,5.0,1.0,0.23,1.5330000000000001
259,8,6,42750000.0,42750000.0,21041.0,41.0,1.0,0.11,3.5189999999999997
155,12,0,22000000.0,22000000.0,30346.0,14.814468785436812,2.0,0.0038,34.8
354,5,4,36702382.78901221,24426689.0,16916.23900268034,15.0,1.0,0.28,1.484
266,1,4,24000000.0,24000000.0,16916.23900268034,6.0,4.0,0.07,2.206
323,3,4,34566584.30097836,22554000.0,16916.23900268034,5.0,1.0,0.05,1.256
572,5,4,8000000.0,8000000.0,593.0,15.0,1.0,0.01,70.057
219,3,7,35990000.0,35990000.0,47045.0,42.0,1.0,0.34,11.382
981,1,4,6250000.0,5000000.0,7348.945986307265,13.0,1.0,0.6,1.45
319,4,2,1022040000.0,10220400.0,7348.945986307265,5.0,1.0,0.25,12.32
800,7,4,45931858.05932918,55000004.0,18986.10291817741,12.900139161615929,1.0,4.2,6.542999999999999
353,6,4,18035526.83829695,10000000.0,7348.945986307265,12.0,3.0,0.04,0.40399999999999997
166,12,7,34566584.30097836,13881450.0,11387.0,8.0,0.0,1.0,-0.374
174,1,4,60000000.0,60000000.0,12023.0,19.0,1.0,2.0,1.17
296,3,4,45000000.0,45000000.0,18986.10291817741,3.0,1.0,0.06,0.747
569,12,4,15412846.790607298,1983781.0,5395.366926923923,12.100648412515675,1.0,0.38,-0.708
546,12,0,34566584.30097836,22000000.0,44.0,14.814468785436812,1.0,0.1,-0.657
137,3,7,94073200.0,94073200.0,17224.0,58.0,2.0,18.09,1.2590000000000001
361,12,4,34566584.30097836,15300000.0,6673.0,6.0,10.0,3.92,4.0969999999999995
169,1,4,30881582.0,30881582.0,68841.0,9.0,5.0,0.1,0.8059999999999999
251,12,7,34566584.30097836,13881450.0,2292.0,11.78575519762246,0.0,0.9121706080373091,0.0
219,5,3,27478671.0,1923507.0,1462.0,19.0,6.0,0.0,0.0
264,7,7,34566584.30097836,13881450.0,7348.945986307265,7.0,1.3894606962523557,0.9121706080373091,0.0
118,7,2,42185216.0,42185216.0,10891.0,20.0,4.0,2.06,0.5920000000000001
378,1,0,18035526.83829695,6480882.0,1819.0,2.0,1.0,12.0,3.0469999999999997
267,1,0,44516129.0,13800000.0,12628.0,6.0,2.0,0.07,-0.33299999999999996
152,12,0,20000000.0,20000000.0,13416.0,13.474824209645888,2.2946645354714295,0.12,0.527
231,4,0,39934610.0,39934610.0,49486.0,15.0,1.0,0.01,6.736000000000001
218,1,4,16707317.0,13700000.0,7348.945986307265,8.0,8.0,0.07,2.853
93,1,2,45931858.05932918,60000000.0,729.0,6.0,1.0,2.5079329541193998,0.0
41,7,5,20388500.0,20388500.0,8041.0,8.0,4.0,0.0002,2.84
255,1,4,74761255.0,48594816.0,18986.10291817741,7.0,1.0,0.0,0.0
183,1,2,30716420.0,30716420.0,9923.0,8.0,1.0,0.0113,0.43
84,12,2,42227032.326398775,33000000.0,17669.3941368154,10.0,4.0,0.1,-0.22
245,9,10,34566584.30097836,13232290.0,16476.0,17.0,3.0,0.09,-0.381
175,7,7,11755200.0,11755200.0,12806.0,12.100648412515675,2.249808359844698,0.0158,4.813
176,3,1,10000000.0,10000000.0,55411.0,13.0,4.0,0.1,2.489
394,12,7,34566584.30097836,12000000.0,7348.945986307265,8.0,2.249808359844698,0.17800000000000002,0.0
297,12,2,48500000.0,48500000.0,801.0,14.880105980735289,3.039308979752699,0.89,3.8760000000000003
304,10,1,24137000.0,24137000.0,16916.23900268034,13.0,1.0,0.02,0.237
355,6,2,267000000.0,26700000.0,7401.0,4.0,4.0,2.88,-0.142
379,1,4,30000000.0,30000000.0,16916.23900268034,15.0,1.0,0.5,0.09699999999999999
351,1,4,33000000.0,33000000.0,8904.0,2.0,6.0,0.1,0.767
292,1,2,211927471.0,14834923.0,7721.3237065145195,2.0,1.0,0.2,2.146
349,7,2,62120448.854534075,80000000.0,116.0,10.0,3.0,0.87,53.943000000000005
54,6,2,52500000.0,52500000.0,63447.0,18.0,1.0,0.1,0.85
174,1,2,31320000.0,31320000.0,24013.0,10.0,1.0,0.07,0.304
317,3,5,27478671.0,1923507.0,1462.0,8.0,1.0,0.0,0.0
277,2,4,12513346.0,12513346.0,2352.0,11.0,1.0,0.05,0.5579999999999999
617,5,4,11764706.0,10000000.0,7348.945986307265,26.0,2.0,0.11,1.433
171,6,4,32847814.0,32847814.0,15776.0,9.0,2.0,0.1,14.2
197,7,4,14360000.0,14360000.0,27057.0,10.0,0.0,0.02,0.7609999999999999
234,5,2,33600000.0,33600000.0,13848.0,7.0,1.0,0.06,0.013000000000000001
239,2,0,15000000.0,15000000.0,7942.0,12.0,5.0,0.01,1.258
100,5,1,16857899.0,16857899.0,13220.0,11.0,3.0,0.0217,-0.258
125,1,0,45000000.0,45000000.0,38122.0,4.0,5.0,0.5,1.54
387,5,4,39878621.08177208,25000000.0,16916.23900268034,2.0,1.0,0.74,1.054
220,7,1,24956097.0,22959609.0,13153.0,8.0,1.0,0.03,-0.332
126,7,4,19500000.0,19500000.0,23125.0,10.0,4.0,0.12,4.648
410,5,4,12500000.0,12500000.0,7348.945986307265,10.0,2.0,29.85,-1.0
203,1,4,12500000.0,12500000.0,10771.0,19.0,1.0,0.07,8.064
422,12,7,11582610.615360258,750000.0,5395.366926923923,7.02733916083916,1.0,1.0,5.95
162,7,4,16872258.0,15691200.0,21538.0,9.0,1.0,0.02,0.56
129,12,7,34566584.30097836,13881450.0,7348.945986307265,11.78575519762246,1.0,0.1,2.296
364,1,0,34566584.30097836,13881450.0,204.0,7.0,0.0,0.18,8.277999999999999
130,3,4,25000000.0,25000000.0,34981.0,11.0,1.0,0.0,0.0
144,3,7,22000000.0,22000000.0,73963.0,15.0,2.0,0.0352,-0.18600000000000003
237,5,7,21739130.0,15000000.0,8288.672452034232,3.0,2.0,1.05,1.2
173,6,4,80932262.0,23470356.0,5484.0,21.0,2.0,0.46,-0.01
