coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N_google_news,N_twitter,N_daily_views,N_daily_time,hype,risk,bazaar-rate,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc,alpha_top10
iexec-rlc,18 Apr 2017,11 May 2017,23.0,560.0,12,other,7,12000000.0,N/A,N/A,0.178,N/A,1,23748,2.0,154.0,High,N/A,N/A,0.59301,151637,0.29,0.168,2.662,2.631,-0.104,-1.648,0.005,0.003
apx,1 May 2017,21 May 2017,20.0,551.0,12,other,N/A,2749185.0,2749185.0,1.0,0.6,805,0,5000,1.0,146.0,N/A,N/A,0.12,4.26667,714525,0.202,0.074,1.175,1.147,-0.074,-0.415,0.004,0.001
21-million,12 Jun 2017,28 Jun 2017,16.0,513.0,12,other,4,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
basic-attention-token,31 May 2017,31 May 2017,0.0,541.0,12,other,11,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
mysterium-network,30 May 2017,30 May 2017,0.0,542.0,5,other,8,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
back-to-earth,26 Apr 2017,28 Apr 2017,2.0,574.0,1,other,6,10000007.0,N/A,N/A,0.2654,1710,1,2510,N/A,N/A,N/A,N/A,0.56,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
blockchain-capital,10 Apr 2017,10 Apr 2017,0.0,592.0,1,other,5,10000000.0,N/A,N/A,1.0,N/A,5,25886,1.6,96.0,N/A,N/A,0.76,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
project-decorum,8 Apr 2017,3 May 2017,25.0,569.0,5,other,1,40000.0,N/A,N/A,0.0,N/A,1,583,N/A,N/A,N/A,N/A,0.68,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
mco,18 May 2017,18 Jun 2017,31.0,523.0,6,other,3,26700000.0,267000000.0,0.1,2.88,3502,0,66138,2.3,140.0,N/A,N/A,N/A,0.69097,3130490,-0.3,-2.385,-4.769,-4.922,0.139,0.958,-0.02,-0.021
minex,15 May 2017,13 Jun 2017,29.0,528.0,2,other,11,78985.0,N/A,N/A,6.1759,N/A,0,10774,1.3,106.0,N/A,N/A,0.62,-0.89027,8495,0.007,0.062,0.987,0.978,-0.225,0.604,0.018,0.018
mysterium,30 May 2017,30 May 2017,0.0,542.0,1,other,6,13325693.0,N/A,N/A,0.885,2605,1,11700,1.0,124.0,N/A,N/A,N/A,1.47458,1632900,-0.128,0.026,0.409,0.383,0.002,-0.023,-0.0,-0.0
bancor,12 Jun 2017,12 Jun 2017,0.0,529.0,12,blockchain,12,15300000.0,N/A,N/A,3.92,7198,1,945,2.1,168.0,N/A,N/A,0.72,4.09694,16871,-0.158,-0.06,-0.946,-0.972,0.011,-0.209,-0.002,-0.001
bitcad,25 May 2017,24 Jun 2017,30.0,517.0,1,other,6,73000002.0,N/A,N/A,2.0,336,0,3519,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
adelphoi,1 May 2017,31 May 2017,30.0,541.0,5,other,N/A,16723914.0,N/A,N/A,0.0295,N/A,0,3833,1.0,180.0,N/A,N/A,0.52,0.96031,73,0.002,0.043,0.683,0.669,0.358,2.68,0.043,0.042
quantum,15 Apr 2017,15 May 2017,30.0,557.0,5,other,3,4122700.0,N/A,N/A,0.05,N/A,0,5126,1.0,46.0,N/A,N/A,0.66,5.73238,136233,0.186,0.057,0.911,0.887,0.126,0.874,0.003,0.001
metal,9 Jun 2017,9 Jun 2017,0.0,532.0,1,other,7,N/A,N/A,1.0,0.18,173,6,32534,1.9,163.0,N/A,N/A,N/A,8.27778,2843520,0.351,0.297,4.718,4.695,-0.192,-1.05,0.002,-0.004
adtoken,26 Jun 2017,26 Jun 2017,0.0,515.0,1,other,N/A,10000000.0,N/A,N/A,0.0169,N/A,8,6744,1.0,70.0,N/A,N/A,0.48,2.85775,334,-0.065,0.054,0.864,0.839,-0.17,-1.847,0.005,0.005
aragon,17 May 2017,17 May 2017,0.0,555.0,5,other,2,25000000.0,32894737.0,0.76,0.744,N/A,2,69740,1.1,49.0,N/A,N/A,0.72,1.04301,2745280,0.272,0.084,1.336,1.305,0.041,0.574,0.001,-0.001
mcap,27 Apr 2017,7 May 2017,10.0,565.0,1,other,N/A,44287318.0,N/A,N/A,4.0,N/A,0,154,2.0,62.0,N/A,N/A,0.38,0.635,3797,-0.098,-0.14,-2.22,-2.261,-0.042,-1.526,-0.003,-0.003
e4row,2 May 2017,23 May 2017,21.0,549.0,12,other,1,40000032.0,N/A,N/A,0.0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
sonm,15 Jun 2017,19 Jun 2017,4.0,522.0,2,blockchain,14,42000000.0,42000000.0,1.0,0.5911,8944,2,32138,N/A,N/A,High,N/A,0.6,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
humaniq,6 Apr 2017,27 Apr 2017,21.0,575.0,4,fintech,19,5163000.0,N/A,N/A,0.0631,N/A,1,22203,1.5,138.0,Medium,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
taas,27 Mar 2017,28 Apr 2017,32.0,574.0,7,fintech,4,7500000.0,10135135.0,0.74,1.0,N/A,1,11788,1.2,112.0,Medium,N/A,0.7,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
adchain,24 Jun 2017,24 Jun 2017,0.0,517.0,12,other,N/A,10000000.0,N/A,N/A,0.02,N/A,0,N/A,N/A,N/A,Medium,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
eos,11 Jun 2017,26 Jun 2017,15.0,516.0,1,blockchain,4,4197956135.0,4197956135.0,1.0,0.99,72107,0,271,2.5,140.0,High,Medium,N/A,0.0202,13613000,0.185,0.085,1.348,1.332,-0.007,1.314,0.008,0.008
