coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N_google_news,N_twitter,N_daily_views,N_daily_time,hype,risk,bazaar-rate,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc,alpha_top10
b21,23 Sep 2018,30 Sep 2018,7.0,54.0,7,fintech,9,N/A,29000000.0,N/A,0.16,7699,0,3277,2.5,187.0,Medium,N/A,0.72,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
covex,07 Jul 2018,30 Sep 2018,85.0,54.0,4,fintech,14,N/A,40000000.0,N/A,0.666,N/A,0,4379,1.1,127.0,Medium,Medium,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
kimex,15 Sep 2018,30 Sep 2018,15.0,54.0,3,fintech,6,N/A,5550000.0,N/A,0.037,78508,0,4088,1.5,61.0,Medium,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
bitcub,29 Jun 2018,30 Sep 2018,93.0,54.0,5,other,7,N/A,2000000.0,N/A,N/A,22,0,5,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
br11,01 Sep 2018,30 Sep 2018,29.0,54.0,7,other,5,N/A,30000000.0,N/A,1.0,N/A,0,1537,2.0,38.0,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
supload,30 Jul 2018,30 Sep 2018,62.0,54.0,1,other,11,N/A,29985999.0,N/A,0.33,3228,0,4281,2.22,110.0,Medium,VeryHigh,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
bitnautic,11 Jul 2018,30 Sep 2018,81.0,54.0,6,transportation,13,16132900.0,16295859.0,0.99,0.4648,58800,0,6919,1.5,138.0,High,High,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
elepig,9 Jul 2018,30 Sep 2018,83.0,54.0,4,other,8,N/A,9773505.0,N/A,0.3337,171,0,19743,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
engyo,1 Aug 2018,30 Sep 2018,60.0,54.0,5,other,10,N/A,183330.0,N/A,0.0046,356,0,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
netterium,30 Apr 2018,30 Sep 2018,153.0,54.0,4,other,11,N/A,17400000.0,N/A,0.0232,N/A,0,479,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
xcelr,1 Aug 2018,30 Sep 2018,60.0,54.0,1,other,N/A,N/A,N/A,N/A,0.5411,N/A,0,85,3.0,262.0,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
sorgin,30 May 2018,30 Sep 2018,123.0,54.0,2,other,10,N/A,18000000.0,N/A,0.5,N/A,0,7,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
