coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N_google_news,N_twitter,N_daily_views,N_daily_time,hype,risk,bazaar-rate,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc,alpha_top10
xyo-network,20 Mar 2018,21 May 2018,62.0,185.0,1,blockchain,13,11951000.0,47804000.0,0.25,0.007,1562,3,7410,1.9,161.0,VeryHigh,Medium,N/A,-0.14029,245464,-0.081,-0.086,-1.37,-1.404,0.225,0.62,-0.001,-0.002
ttc-protocol,18 Apr 2018,18 May 2018,30.0,188.0,7,saas,13,35000000.0,35000000.0,1.0,0.175,65946,1,18091,3.0,131.0,Medium,Medium,N/A,-0.7028,700206,-0.03,0.09,1.43,1.373,0.418,2.242,-0.001,-0.002
ice-rock-mining,20 Mar 2018,25 May 2018,66.0,181.0,5,other,14,6061241.0,6061241.0,1.0,1.2,N/A,2,2981,2.5,167.0,N/A,N/A,N/A,-0.75875,6038,-0.012,0.086,1.358,1.323,-0.352,-3.46,0.001,0.001
ifoods-chain,25 May 2018,08 Jun 2018,14.0,167.0,12,other,9,10000000.0,N/A,N/A,N/A,1039,3,83,N/A,N/A,Low,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
skrumble-network,05 May 2018,07 May 2018,2.0,199.0,1,telecommunications,25,16472800.0,16472800.0,1.0,0.0515,35205,1,N/A,2.2,107.0,Medium,Low,N/A,0.8734,32789700,-0.173,-0.268,-4.257,-4.304,-0.088,-0.651,-0.014,-0.013
morpheus-labs,23 Feb 2018,16 Apr 2018,52.0,220.0,12,blockchain,N/A,9600000.0,10105263.0,0.95,0.1,3219,0,N/A,N/A,N/A,Medium,N/A,N/A,-0.1835,488558,-0.236,-0.254,-4.035,-4.089,0.234,1.823,-0.007,-0.007
nebula-ai,31 Mar 2018,20 Apr 2018,20.0,216.0,1,blockchain,11,1233963.0,17628043.0,0.07,0.0058,5634,1,1427,2.6,145.0,N/A,N/A,N/A,1.07379,155134,-0.015,-0.039,-0.612,-0.644,-0.32,-2.581,-0.009,-0.008
silent-notary,15 Mar 2018,12 Apr 2018,28.0,224.0,2,legal services,5,N/A,11969900.0,N/A,0.0001,85089,1,10987,1.2,92.0,High,N/A,N/A,-0.03,339139,0.265,0.073,1.157,1.137,-0.373,-3.737,-0.003,-0.003
the-abyss,18 Apr 2018,16 May 2018,28.0,190.0,5,gaming,12,15362418.0,18073433.0,0.85,0.11,31291,0,18265,1.7,144.0,VeryHigh,Low,N/A,-0.33938,1355170,-0.392,-0.051,-0.806,-0.84,-0.165,-1.765,-0.012,-0.012
fox-trading,23 May 2018,8 Jun 2018,16.0,167.0,5,other,6,30000.0,3000000.0,0.01,0.49,143,1,11347,2.5,259.0,N/A,N/A,N/A,-0.89135,86239,0.097,0.121,1.926,1.913,0.808,5.892,0.034,0.033
fire-lotto,15 Mar 2018,15 Apr 2018,31.0,221.0,12,other,9,3740965.0,14963860.0,0.25,0.5,5777,1,2877,2.1,129.0,N/A,N/A,N/A,-0.79832,2462,-0.04,0.041,0.653,0.63,0.273,6.972,0.003,0.004
bigbom,28 May 2018,10 Jun 2018,13.0,165.0,12,saas,12,6792000.0,6792000.0,1.0,0.0257,13725,4,12015,2.3,144.0,VeryHigh,Medium,N/A,-0.17459,972645,-0.181,-0.116,-1.839,-1.872,0.076,0.701,-0.009,-0.009
signals-network,12 Mar 2018,09 Apr 2018,28.0,227.0,12,other,9,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
engagement-token,1 Apr 2018,1 Jun 2018,61.0,174.0,1,other,6,19000000.0,26027397.0,0.73,0.113,1904,0,N/A,1.0,62.0,Medium,Medium,N/A,-0.61015,2293870,-0.435,-0.352,-5.59,-5.625,0.004,0.326,-0.029,-0.029
joint-ventures,7 Apr 2018,30 May 2018,53.0,177.0,12,other,10,2000000.0,10000000.0,0.2,0.071,12729,0,9721,1.0,41.0,Medium,N/A,N/A,-0.92831,41727,0.057,0.085,1.354,1.341,1.07,10.085,0.026,0.023
gold-bits-coin,1 Feb 2018,25 May 2018,113.0,182.0,9,fintech,7,50000000.0,50000000.0,1.0,0.5,1693,1,2978,1.4,100.0,Low,N/A,N/A,0.09355,1527,0.262,0.125,1.979,1.967,1.787,9.727,0.12,0.117
fabric-token,15 Feb 2018,1 Apr 2018,45.0,236.0,5,blockchain,3,1035986.0,8633217.0,0.12,0.1125,4439,1,N/A,1.0,57.0,Medium,High,N/A,-0.17188,83004,0.081,0.047,0.743,0.718,-1.046,-11.301,0.003,0.002
mir-coin,09 Apr 2018,27 May 2018,48.0,180.0,12,blockchain,N/A,N/A,480000000.0,N/A,0.8,N/A,3,N/A,N/A,N/A,Low,N/A,N/A,-0.93712,447437,0.146,1.158,2.316,2.304,1.77,15.852,0.037,0.035
karatgold-coin,15 Feb 2018,15 Apr 2018,59.0,222.0,5,fintech,5,10000000.0,71428571.0,0.14,0.05,N/A,1,1939,2.4,275.0,Medium,N/A,N/A,-0.83232,144387,0.148,0.132,2.096,2.064,-0.038,0.639,0.005,0.006
hybrid-block,23 May 2018,05 Jun 2018,13.0,171.0,12,fintech,N/A,47830000.0,49822917.0,0.96,0.3,23481,0,N/A,N/A,N/A,High,Medium,N/A,-0.88788,45404,-0.13,-0.061,-0.972,-1.013,0.002,-1.085,-0.011,-0.011
vivalid,14 May 2018,11 Jun 2018,28.0,165.0,5,other,12,N/A,28750000.0,N/A,N/A,21254,0,11146,1.0,120.0,Medium,Medium,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
