,coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N_google_news,N_twitter,hype,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc
0,eos,11-Jun-17,26-Jun-17,15,347,1,0,4.0,185000000.0,125383150.31178431,,0.99,58506.0,2.0,24188.36461509275,0.7,0.02,13613000.0,0.19,0.09,1.35,1.32,0.073,1.32,0.015
1,iota,24-Nov-17,20-Dec-17,26,170,12,4,11.78575519762246,13881450.0,34566584.30097836,,0.9121706080373091,2.0,3.0,15791.638211498579,0.32,0.0,25425600.0,-0.2,0.12,1.83,1.76,0.067,-0.191,0.006999999999999999
2,tron,07-Sep-17,08-Sep-17,1,273,3,0,1.0,70000000.0,70000000.0,1.0,0.0019,99358.0,1.0,24188.36461509275,0.62,0.046,48512.0,0.15,0.09,1.5,1.46,-0.073,2.2030000000000003,0.025
3,neo,08-Aug-17,07-Sep-17,30,274,3,0,16.0,28056944.0,42227032.326398775,,0.03,4.0,2.0,321810.0,0.76,17.616,1349.0,0.12,0.08,1.33,1.3,0.04,-0.665,0.017
4,qtum,12-Mar-17,17-Mar-17,5,448,7,0,18.0,15000000.0,15000000.0,1.0,0.3,14064.0,1.0,166554.0,0.5124599738064687,19.633,11221600.0,0.23,0.06,0.98,0.98,0.071,-0.643,0.008
5,omisego,23-Jun-17,23-Jul-17,30,320,7,2,5.0,25000000.0,25000000.0,1.0,0.23,16916.23900268034,1.0,279748.0,0.5749858098677566,1.5330000000000001,750698.0,0.37,0.31,4.86,4.86,-0.06,-1.286,0.015
6,icon,22-Sep-17,22-Sep-17,0,259,8,6,41.0,42750000.0,42750000.0,1.0,0.11,21041.0,1.0,105421.0,0.5,3.5189999999999997,71509.0,0.34,0.32,5.1,5.1,-0.08800000000000001,-0.28600000000000003,0.016
7,zilliqa,27-Dec-17,04-Jan-18,8,155,12,0,14.814468785436812,22000000.0,22000000.0,1.0,0.0038,30346.0,2.0,15078.901689143211,0.74,34.8,4921770.0,-0.37,-0.14,-2.21,-2.21,-0.35600000000000004,-0.5,0.003
8,aeternity,29-May-17,19-Jun-17,21,354,5,4,15.0,24426689.0,36702382.78901221,,0.28,16916.23900268034,1.0,277.0,0.5840531301291946,1.484,1518.0,0.39,0.09,1.42,1.42,0.026000000000000002,0.39299999999999996,0.017
9,0x,15-Aug-17,15-Sep-17,31,266,1,4,6.0,24000000.0,24000000.0,1.0,0.07,16916.23900268034,4.0,45306.0,0.5840531301291946,2.206,5232600.0,0.23,0.12,1.97,1.97,-0.255,-1.107,0.015
