coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N_google_news,N_twitter,N_daily_views,N_daily_time,hype,risk,bazaar-rate,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc,alpha_top10
enjin-coin,3 Oct 2017,31 Oct 2017,28.0,527.0,12,gaming,8,23000000.0,25000000.0,0.92,0.0304,1182,1,44423,3.45,301.0,N/A,N/A,0.84,-0.34102,742008,0.026,0.278,4.415,4.396,-0.214,-2.71,0.009,0.01
power-ledger,8 Sep 2017,6 Oct 2017,28.0,552.0,12,blockchain,17,13232290.0,N/A,N/A,0.088,1182,1,85168,3.45,301.0,High,Medium,N/A,-0.36738,1017460,0.512,0.32,5.074,5.06,0.041,-0.111,0.006,0.006
kyber-network,15 Sep 2017,17 Sep 2017,2.0,571.0,7,other,7,N/A,N/A,N/A,N/A,1182,1,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
iexec-rlc,18 Apr 2017,11 May 2017,23.0,700.0,12,saas,8,12000000.0,N/A,N/A,0.178,1182,8,24725,1.9,164.0,High,N/A,N/A,0.59301,151637,0.29,0.168,2.662,2.637,-0.15,-2.059,0.006,0.004
ttc-protocol,18 Apr 2018,18 May 2018,30.0,328.0,12,saas,13,35000000.0,35000000.0,1.0,0.175,1182,4,N/A,1.0,66.0,Medium,Medium,N/A,-0.7028,700206,-0.03,0.09,1.43,1.384,0.102,0.757,0.009,0.009
celer-network,19 Mar 2019,24 Mar 2019,5.0,18.0,12,blockchain,11,34000000.0,34000000.0,1.0,0.0067,1182,0,11881,3.45,301.0,N/A,N/A,N/A,2.64881,228240682,-1.062,-1.839,-3.679,-3.708,0.04,0.946,-0.025,-0.026
apollo-currency,30 Mar 2018,28 May 2018,59.0,318.0,12,other,24,N/A,N/A,N/A,N/A,1182,0,56848,3.45,301.0,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
bnktothefuture,6 Feb 2018,13 Feb 2018,7.0,422.0,12,saas,8,33000000.0,33000000.0,1.0,0.1,1182,0,15056,3.45,301.0,Medium,Medium,N/A,-0.22014,40890,0.32,0.198,3.136,3.109,-0.022,0.198,0.001,0.001
nexus,17 Aug 2017,15 Sep 2017,29.0,573.0,12,other,14,6155000.0,N/A,N/A,0.6029,1182,0,5401,3.45,301.0,N/A,N/A,N/A,-0.99285,7268,-0.127,0.03,0.469,0.456,-0.036,-1.696,0.011,0.002
ankr-network,16 Sep 2018,16 Oct 2018,30.0,177.0,12,other,N/A,18700000.0,18700000.0,1.0,0.0066,1182,0,N/A,N/A,N/A,High,Low,N/A,1.03591,20081499,0.097,0.768,1.537,1.477,-0.368,-2.687,-0.001,-0.002
storm,7 Nov 2017,8 Dec 2017,31.0,489.0,12,other,8,30700000.0,30700000.0,1.0,0.0113,1182,0,27065,3.45,301.0,N/A,N/A,N/A,0.42982,330757,0.67,0.151,2.39,2.375,-0.138,-0.793,0.003,0.003
genesis-vision,15 Oct 2017,15 Nov 2017,31.0,512.0,12,fintech,10,2836724.0,31519156.0,0.09,1.0,1182,0,21314,3.45,301.0,VeryHigh,Medium,N/A,1.68,683667,0.386,0.27,4.287,4.27,-0.083,-1.302,0.006,0.006
deepbrain-chain,16 Sep 2018,28 Nov 2018,73.0,134.0,12,other,5,11800000.0,11800000.0,1.0,0.0075,1179,2,655,3.45,301.0,High,N/A,N/A,11.24627,18387700,0.288,0.086,1.362,1.344,-0.178,-1.374,-0.002,-0.001
time-new-bank,18 Nov 2017,23 Nov 2017,5.0,504.0,12,other,4,14400000.0,14400000.0,1.0,0.0203,1179,1,15576,3.45,301.0,N/A,N/A,N/A,0.73468,10625600,0.332,0.198,3.14,3.124,-0.11,0.604,0.001,0.001
poa-network,17 Nov 2017,17 Nov 2017,0.0,510.0,12,other,15,12500000.0,12500000.0,1.0,0.072,1179,3,303,3.45,301.0,N/A,N/A,0.62,7.81215,79376200,-0.336,0.061,0.971,0.945,-0.217,-1.986,-0.004,-0.004
jibrel-network,27 Nov 2017,1 Jan 2018,35.0,465.0,12,fintech,9,30000000.0,30000000.0,1.0,0.25,1179,0,6524,3.45,301.0,High,Medium,N/A,0.68912,10089800,0.06,-0.099,-1.565,-1.595,-0.184,-1.39,-0.002,-0.002
paragon,15 Sep 2017,15 Oct 2017,30.0,543.0,1,other,12,6000000.0,100000000.0,0.06,1.0,1179,1,N/A,N/A,N/A,N/A,N/A,N/A,-0.35042,284896,-0.155,0.01,0.161,0.146,0.135,1.776,0.014,0.014
qlc-chain,27 Dec 2017,27 Jan 2018,31.0,439.0,12,other,7,19000000.0,19000000.0,1.0,0.3497,1179,4,24844,3.45,301.0,N/A,N/A,N/A,-0.17031,9911000,0.182,0.031,0.485,0.465,-0.27,-2.339,-0.0,-0.0
btu-protocol,7 Jun 2018,30 Jun 2018,23.0,285.0,12,fintech,5,5500000.0,25000000.0,0.22,0.75,1179,0,1324,3.45,301.0,Low,N/A,N/A,-0.56774,1364002,-0.362,-2.871,-5.741,-5.781,-0.71,-6.036,-0.001,-0.001
amo-coin,14 Jul 2018,21 Jul 2018,7.0,264.0,12,other,48,N/A,2288000.0,N/A,0.0022,1179,1,1017,3.45,301.0,N/A,N/A,N/A,-0.31318,6564,0.219,0.093,1.476,1.45,-0.238,-1.845,0.004,0.004
litecoin-cash,2 Apr 2018,1 Jul 2018,90.0,284.0,12,other,3,N/A,N/A,N/A,1.6,1179,1,N/A,3.45,301.0,N/A,N/A,N/A,1.94375,1828460,-0.119,-0.065,-1.033,-1.043,-0.412,-3.952,-0.006,-0.007
mir-coin,09 Apr 2018,27 May 2018,48.0,319.0,12,blockchain,N/A,N/A,480000000.0,N/A,0.8,1179,0,N/A,N/A,N/A,Low,N/A,N/A,-0.93712,447437,0.146,0.097,1.542,1.527,0.287,2.725,0.001,0.001
fintrux-network,07 Feb 2018,28 Feb 2018,21.0,407.0,7,other,6,N/A,N/A,N/A,N/A,1179,1,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
linkeye,10 Nov 2017,31 Jan 2018,82.0,435.0,12,other,6,1600000.0,17777778.0,0.09,0.0427,1179,0,5086,3.45,301.0,N/A,N/A,N/A,2.90251,10037600,-0.25,-0.202,-3.213,-3.247,-0.1,-0.686,-0.003,-0.003
nos,29 Oct 2018,08 Nov 2018,10.0,154.0,12,blockchain,9,9200000.0,16727273.0,0.55,0.1,1179,0,N/A,N/A,N/A,High,Low,N/A,-0.60046,271763,0.17,0.037,0.591,0.562,-0.238,-2.199,0.006,0.006
divi,25 Oct 2017,21 Nov 2017,27.0,506.0,12,other,15,2600000.0,2600000.0,1.0,0.62,1179,2,8119,1.8,165.0,High,Low,N/A,-0.98771,11780,0.106,-0.095,-1.515,-1.541,-0.038,-0.087,0.003,0.003
