ico_name,date,year,website,age_days,country,region,industry,hardcap,money_raised,pct_complete,sol_pct_complete,hardcap_reached,token_prx,followers,team_size,cum_years_experience,accredited_advisors,media_mentions,listing_prx,token_prx_1m,token_prx_3m,token_prx,log_rets_1m,log_rets_3m,log_rets
Trackr,9/15/2017,17,https://www.trackr.im/,108,UK,4,Fintech,3250000,288798,8.89,889,0,0.05,3522,1,-1,0,1,0.03,0.07,0.09,0.07,0.85,1.1,0
Propy,9/15/2017,17,https://tokensale.propy.com/,108,USA,1,Real Estate,10000000,5077000,50.77,5077,0,1,2725,11,50,6,5,0.82,0.32,0.57,1.91,-0.94,-0.36,1.79
FaceCoin,9/15/2017,17,http://facecoin.tech/,108,Switzerland,6,Social Service,9122400,9122400,100,10000,1,0.46,512,5,15,0,1,0.06,0.01,0,0.01,-1.79,-3.4,0
ICObox,9/15/2017,17,https://icos.icobox.io/,108,Singapore,7,Crowdfunding,14800000,14800000,100,10000,1,44.37,346,35,-1,4,7,41.53,51.65,43.33,26.66,0.22,0.04,-0.66
Social(SCL),9/14/2017,17,https://ico.nexus.social/,109,UK,4,Social Service,26000000,5265509,20.25,2025,0,0.52,987,7,10,1,4,0.37,0.19,0.23,0.33,-0.67,-0.48,0.55
BitDice,9/14/2017,17,https://ico.bitdice.me/zh/,109,Costa Rica,10,Gambling,10000000,8748793,87.49,8749,0,0.09,713,2,-1,0,7,0.11,0.16,0.36,0.39,0.37,1.19,0.89
Aventus,09/12/2017,17,https://aventus.io/,111,UK,4,Entertainment,15000000,20060400,133.74,13374,1,3.66,788,13,100,0,9,4.52,3.11,4.26,3.81,-0.37,-0.06,0.2
Enigma Catalyst,09/12/2017,17,https://easymine.io/,111,USA,1,Fintech,45000000,45000000,100,10000,1,0.6,493,5,95,0,5,0.6,0.61,0.62,2.5,0.02,0.03,1.41
Ahoolee,09/11/2017,17,http://ahoolee.io/,112,Russia,2,Ecommerce,10000000,154000,1.54,154,0,0.4,307,8,35,0,4,0.34,0.3,0.28,0.35,-0.13,-0.19,0.15
StuffGoGo,09/11/2017,17,https://stuffgogo.com/,112,USA,1,Ecommerce,29392000,239752,0.82,82,0,0.03,625,3,15,0,2,0,0,0,0,NaN,NaN,NaN
Prospector,09/10/2017,17,https://prospectors.io/en,113,Ukraine,2,Gaming,8500000,267000,3.14,314,0,0.3,213,6,0,0,4,0.02,0.14,0.07,0.09,1.95,1.25,-0.44
Rivetz,09/10/2017,17,https://rivetzintl.com/,113,USA,1,SaaS,20000000,18653920,93.27,9327,0,0.88,1158,9,100,4,10,0.73,0.53,0.48,1.02,-0.32,-0.42,0.65
Filecoin,09/10/2017,17,http://filecoin.io/,113,USA,1,SaaS,40000000,257000000,642.5,64250,1,0.75,19500,12,-1,0,8,11.47,12.45,11.33,19.57,0.08,-0.01,0.45
fujinto,09/10/2017,17,https://fujinto.io/,113,Japan,8,Transportation,17566200,2150550,12.24,1224,0,0.07,1922,3,-1,0,1,0.42,0.02,0.01,0.01,-3.04,-3.96,-1.39
Hubii,09/07/2017,17,https://www.hubii.network/,116,Singapore,7,SaaS,50000000,7130256,14.26,1426,0,0.33,996,5,-1,0,6,0.11,0.11,0.12,0.48,0,0.09,1.47
Revain,09/06/2017,17,https://revain.org/,117,Russia,2,SaaS,31113290,12513346,40.22,4022,0,0.04,2011,5,15,0,5,0.09,0.09,0.26,0.89,0,1.06,2.29
Substratum,09/06/2017,17,https://substratum.net,117,USA,1,SaaS,45000000,13800000,30.67,3067,0,0.08,9591,6,100,1,4,0.05,0.1,0.67,1.06,0.69,2.6,2.36
WorldWide Anonymous Messaging,09/06/2017,17,http://wwam.io/,117,France,5,SaaS,125000000,148250,0.12,12,0,0.001,356,4,-1,0,1,0,0,0,0,NaN,NaN,NaN
COSS,09/06/2017,17,https://coss.io/,117,Singapore,7,Fintech,67000000,3200000,4.78,478,0,0.56,16600,7,-1,1,6,0.04,0.16,0.11,0.26,1.39,1.01,0.49
Indorse,09/06/2017,17,https://indorse.io/,117,Singapore,7,Social Service,15000000,9247392,61.65,6165,0,0.33,1795,4,-1,4,8,0.2,0.08,0.11,0.18,-0.92,-0.6,0.81
Viberate,09/05/2017,17,https://www.viberate.io/,118,Slovenia,5,Entertainment,12000000,12000000,100,10000,1,0.1,2488,3,100,3,13,0.29,0.29,0.18,0.42,0,-0.48,0.37
FinShi Capital,8/31/2017,17,http://finshi.capital/,123,Singapore,7,Fintech,50000000,21420275,42.84,4284,0,1,320,3,30,1,0,0,0,0,0,NaN,NaN,NaN
Moeda,8/31/2017,17,https://moeda.in/,123,Brazil,10,Fintech,5000000,19628888,392.58,39258,Yes,1,2770,8,-1,1,0,2.23,2.41,1.4,2.19,0.08,-0.47,-0.1
ATB Coin,8/31/2017,17,https://atbcoin.com/,123,USA,1,Fintech,50000000,14980000,29.96,2996,0,1,2135,5,20,0,8,1.13,0.97,0.82,0.44,-0.15,-0.32,-0.79
XPlay,8/30/2017,17,http://xplay.fund,124,Hong Kong,7,Gaming,5944095,3771624,63.45,6345,0,0.01,315,6,-1,0,0,0.01,0.02,0.03,0.12,0.69,1.1,1.79
DMarket,8/21/2017,17,https://dmarket.io/,133,Russia,2,Gaming,53300000,19026768,35.7,3570,0,0.63,750,3,-1,5,0,0.85,NaN,NaN,NaN,NaN,NaN,NaN
Corion,8/27/2017,17,https://www.corion.io/,127,Switzerland,6,Fintech,20000000,3123000,15.62,1562,0,1,735,4,-1,0,5,0.81,0.81,0.95,0.54,0,0.16,-0.41
DimCoin,8/27/2017,17,https://www.dimcoin.io/,127,South Africa,11,Fintech,13500000,14005746,103.75,10375,1,1,2925,5,-1,0,7,0.25,0.14,NaN,NaN,-0.58,NaN,NaN
Opus,8/24/2017,17,http://opus-foundation.org/,130,USA,1,Entertainment,20000000,5737250,28.69,2869,0,0.036,1416,9,-1,0,5,0.06,0.02,0.01,0.05,-1.1,-1.46,0.92
Paquarium,8/24/2017,17,https://ico.paquarium.com/#executiveteam,130,Estonia,5,Construction,120000000,619807,0.52,52,0,0.1,123,8,-1,0,0,0.16,0.09,0.05,0.5,-0.58,-1.16,1.71
Agrello,8/17/2017,17,https://www.agrello.org/,137,Estonia,5,Legal,43200000,30100000,69.68,6968,0,0.43,4450,7,14,2,8,0.4,0.36,0.15,0.55,-0.11,-0.98,0.42
Tierion,08/10/2017,17,https://tokensale.tierion.com/,144,USA,1,Data Services,25000000,25000000,100,10000,1,0.07,4268,4,50,3,4,0.2,0.11,0.06,0.2,-0.6,-1.2,0.6
Blocktix,08/07/2017,17,https://www.blocktix.io/,147,Netherlands,5,Entertainment,7500000,6981328,93.08,9308,10,0.24,713,3,1,1,0,0.15,0.38,0.11,1.19,0.93,-0.31,1.14
MonsterByte,08/04/2017,17,https://www.monsterbyte.io/ico,150,Panama,10,Gambling,1000000,1000000,100,10000,1,0.11,2133,4,-1,0,5,0.05,0.06,0.03,0.09,0.18,-0.51,0.41
CoinDash,08/04/2017,17,https://santiment.net/,150,Switzerland,6,Fintech,12215250,12215250,100,10000,1,0.27,8075,9,10,1,7,0.26,0.23,0.29,5.74,-0.12,0.11,3.22
district0x Network,08/01/2017,17,https://district0x.io/,153,USA,1,Fintech,50000000,10102951,20.21,2021,0,0.017,4273,2,10,5,6,0.02,0.11,0.04,0.16,1.7,0.69,0.37
SunContract,08/01/2017,17,https://suncontract.org/,153,Slovenia,5,Energy,2250000,2000000,88.89,8889,0,0.016,3190,14,-1,2,7,0.02,0.04,0.03,0.25,0.69,0.41,1.83
FundYourselfNow,7/31/2017,17,https://www.fundyourselfnow.com/#,154,Singapore,7,Crowdfunding,25125000,1467300,5.84,584,0,2.01,5059,5,60,5,4,1.1,3.16,1.84,4.08,1.06,0.51,0.26
Cryptonomos,7/31/2017,17,https://cryptonomos.com/wtt/,154,USA,1,SaaS,30000000,15000000,50,5000,0,1.2,2026,7,100,0,5,2.08,2.08,1.67,1.55,0,-0.22,-0.29
RootProject*,7/28/2017,17,https://www.rootproject.co/,157,USA,1,Crowdfunding,50000000,246000,0.49,49,0,0.025,3972,5,-1,1,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TrueFlip,7/28/2017,17,https://ico.trueflip.io/,157,Costa Rica,10,Gambling,20000000,8244292,41.22,4122,0,1.36,666,2,10,4,15,1.31,1.4,0.87,1.81,0.07,-0.41,0.26
GeoFounders,7/26/2017,17,http://www.geofounders.com/ico/,159,USA,1,SaaS,2500000,40447,1.62,162,0,0.2,120,3,20,0,0,0.25,0,0,0.39,NaN,-4.83,NaN
Primalbase,7/26/2017,17,http://primalbase.com/,159,Netherlands,5,Real Estate,7600000,7600000,100,10000,1,7554.6,350,6,-1,3,8,5344.5,5344.5,4080.81,6824.33,0,-0.27,0.24
Dent,7/26/2017,17,https://www.dentcoin.com/,159,Hong Kong,7,SaaS,31000000,4384236,14.14,1414,0,0.005,6458,5,100,3,0,0,0,0,0.02,0.69,-0.18,2.81
Eros,7/23/2017,17,https://eros.vision/,162,Netherlands,5,Entertainment,10000000,4835093,48.35,4835,0,1,211,2,-1,0,1,0,0,0,0,NaN,NaN,NaN
SkinCoin,7/21/2017,17,https://skincoin.org/,164,Russia,2,Gaming,10000000,3292183,32.92,3292,0,0.04,707,6,35,0,14,0.04,0.03,0.01,0.02,-0.29,-1.05,-0.63
Gilgam,7/20/2017,17,https://ico.gilgam.es/ico,165,Malta,5,Gaming,45000000,230000,0.51,51,0,0.45,2838,6,-1,0,1,0,0,0.01,0,NaN,NaN,NaN
Pillar,7/17/2017,17,https://pillarproject.io/,168,Switzerland,6,Fintech,56000000,20000000,35.71,3571,0,0.1,1174,4,30,6,4,0.07,0.16,0.06,0.32,0.89,-0.1,0.69
Mothership,7/16/2017,17,https://mothership.cx/,169,Estonia,5,Fintech,8000000,5406897,67.59,6759,0,0.04,4249,2,20,3,1,0.04,0.17,0.1,0.28,1.45,0.92,0.5
Bitquence,7/16/2017,17,https://www.bitquence.com/,169,USA,1,Social Service,25482000,1680433,6.59,659,0,0.03,13235,10,100,0,4,0.06,0.84,0.84,3.04,2.64,2.64,1.29
PressOne,7/15/2017,17,https://ico.info/projects/1,170,China,3,SaaS,200000000,82000000,41.00,4100,0,0.63,0,1,10,0,1,0.715,NaN,NaN,NaN,NaN,NaN,NaN
SONM,7/15/2017,17,https://sonm.io/,170,Russia,2,SaaS,100000000,42000000,42.00,4200,0,0.16,6457,2,-1,3,10,0.42,0.04,0.08,0.384,-2.351375257,-1.658228077,2.261763098
Orocrypt,7/14/2017,17,https://orocrypt.com/#,171,Panama,10,Fintech,5000000,116759,2.34,234,0,10,5229,4,80,3,5,0,0,0,0,NaN,NaN,NaN
Fuck,7/13/2017,17,http://www.fucktoken.io/,172,USA,1,Fintech,314559,88800,28.23,2823,0,0.004,3773,2,-1,0,1,0.0035,0.058,0.017,0.029,2.807680042,1.580450376,-0.6931471806
Tezos,7/13/2017,17,https://www.tezos.com/,172,USA,1,Fintech,232000000,232000000,100.00,10000,1,0.47,38000,11,-1,3,8,1.66,1.66,2.48,4.18,0,0.4014409578,0.9234936442
InsureX,7/13/2017,17,https://insurex.co/,172,UK,4,Insurance,16023400,7104000,44.34,4434,0,0.16,2299,6,60,3,2,0.09,0.27,0.217,0.78,1.098612289,0.8800876832,1.060871961
Nimiq,07/12/2017,17,https://nimiq.com/,173,Sweden,5,Blockchain,10000000,10000000,100.00,10000,1,1.4,2791,13,-1,0,1,1.03,0.62,0.98,3.95,-0.5075946032,-0.04976150956,1.85175138
LeviarCoin,07/09/2017,17,https://leviarcoin.org/,176,-1,-1,Blockchain,5600000,63729.88,1.14,114,0,1.035,842,-1,-1,0,1,0.205,0.135,0.05,0.162,-0.4177352007,-1.410986974,0.1823215568
Polybius,07/05/2017,17,https://polybius.io/,180,Estonia,5,Fintech,100000000,62956169,62.96,6296,0,10,3593,10,-1,4,15,9.06,4.07,4.47,5.48,-0.8002261206,-0.7064807114,0.2974621015
OpenANX,07/04/2017,17,https://www.openanx.org/en/,181,Hong Kong,7,Fintech,13500000,11254162,83.36,8336,0,0.45,1154,6,-1,3,3,0.39,1.86,0.39,1.24,1.562185028,0,-0.4054651081
Rialto,07/04/2017,17,https://www.rialto.ai/,181,Slovenia,5,Fintech,10000000,10000000,100,10000,1,0.40,1413,8,-1,0,2,0.08,0.61,0.26,0.45,2.03143232249348,1.17865499634165,1.72722094809048
Starta,07/04/2017,17,https://startaico.com/,181,Russia,2,Fintech,5000000,5000000,100,10000,1,1.00,613,4,-1,0,4,0.53,0.62,0.59,0.90,0.15684247149297,0.107245530353598,0.529517756778143
CrypViser,07/04/2017,17,https://ico.crypviser.net/,181,Russia,2,SaaS,7409160,4025989,54.34,5434,0,0.50,981,8,-1,0,16,0.34,0.41,0.46,1.07,0.187211542088146,0.302280871872934,1.14646830984574
EncryptoTel,07/01/2017,17,https://encryptotel.com/,184,Russia,2,Telecommunications,3000000,4429212,147.64,14764,1,0.12,7674,5,-1,0,5,0.10,0.10,0.10,0.17,0.00,0.00,0.53062825106217
AdEx,6/30/2017,17,https://www.adex.network/,185,Russia,2,SaaS,10000000,10000000,100,10000,1,0.24,4684,7,45,3,4,0.21,0.13,1.19,2.82,-0.479573080261886,1.73460105538811,2.59738463321469
BlockPool,6/30/2017,17,https://blockpool.io,185,,,,,,,,,,,,,,,,,,,,,
DCORP,6/29/2017,17,https://www.dcorp.it/crowdsale,186,,,,,,,,,,,,,,,,,,,,,
Air,6/29/2017,17,https://tokeninvestor.com/crowdfunding/air,186,,,,,,,,,,,,,,,,,,,,,
21 Million,6/28/2017,17,https://www.21million.co.uk/,187,,,,,,,,,,,,,,,,,,,,,
SilverCoin,6/27/2017,17,https://silvercoin.io/,188,,,,,,,,,,,,,,,,,,,,,
iDice,6/26/2017,17,https://crowdsale.idice.io/,189,,,,,,,,,,,,,,,,,,,,,
Octanox,6/26/2017,17,https://octanox.org/,189,,,,,,,,,,,,,,,,,,,,,
Wagerr,6/25/2017,17,https://wagerr.com/,190,,,,,,,,,,,,,,,,,,,,,
CryptoPing,6/25/2017,17,https://cryptoping.tech/,190,,,,,,,,,,,,,,,,,,,,,
NVO,6/25/2017,17,https://nvo.io/,190,,,,,,,,,,,,,,,,,,,,,
TenX,6/24/2017,17,https://www.tenx.tech/,191,,,,,,,,,,,,,,,,,,,,,
MaskNetwork,6/24/2017,17,http://masknetwork.com/,191,,,,,,,,,,,,,,,,,,,,,
OmiseGO,6/23/2017,17,https://omg.omise.co/,192,,,,,,,,,,,,,,,,,,,,,
FootballCoin,6/23/2017,17,https://www.xfccoin.io/,192,,,,,,,,,,,,,,,,,,,,,
Civic,6/22/2017,17,https://www.civic.com/,193,,,,,,,,,,,,,,,,,,,,,
Status,6/21/2017,17,https://status.im/,194,,,,,,,,,,,,,,,,,,,,,
Internet of Coins,6/21/2017,17,https://coinstorm.net/en,194,,,,,,,,,,,,,,,,,,,,,
Monaco,6/18/2017,17,https://mona.co/,197,,,,,,,,,,,,,,,,,,,,,
BidLend,6/14/2017,17,http://www.bidlend.io/,201,,,,,,,,,,,,,,,,,,,,,
Minexcoin,6/13/2017,17,https://minexcoin.com/,202,,,,,,,,,,,,,,,,,,,,,
SuperDAO,6/13/2017,17,http://www.superdao.io/,202,,,,,,,,,,,,,,,,,,,,,
Bancor,06/12/2017,17,https://www.bancor.network/,203,,,,,,,,,,,,,,,,,,,,,
Aira,06/11/2017,17,http://aira.life/,204,,,,,,,,,,,,,,,,,,,,,
Zrcoin,06/09/2017,17,https://zrcoin.io/,206,,,,,,,,,,,,,,,,,,,,,
EcoBit,06/08/2017,17,http://www.ecobit.io/en/index.html,207,,,,,,,,,,,,,,,,,,,,,
Cofound.it,06/06/2017,17,https://cofound.it/en/,209,,,,,,,,,,,,,,,,,,,,,
VOISE,06/06/2017,17,https://voise.it/,209,,,,,,,,,,,,,,,,,,,,,
Patientory,06/03/2017,17,https://patientory.com/,212,,,,,,,,,,,,,,,,,,,,,
Embermine,06/02/2017,17,https://embermine.com/,213,,,,,,,,,,,,,,,,,,,,,
Adel,06/01/2017,17,https://www.adelphoi.io/,214,,,,,,,,,,,,,,,,,,,,,
Basic Attention Token,5/31/2017,17,https://basicattentiontoken.org/,215,,,,,,,,,,,,,,,,,,,,,
Exscudo,5/31/2017,17,https://exscudo.com/,215,,,,,,,,,,,,,,,,,,,,,
Mysterium Network,5/30/2017,17,https://mysterium.network/,216,,,,,,,,,,,,,,,,,,,,,
Suretly,5/30/2017,17,https://www.ico.suretly.com/,216,,,,,,,,,,,,,,,,,,,,,
Veritaseum,5/26/2017,17,http://veritas.veritaseum.com/,220,,,,,,,,,,,,,,,,,,,,,
Metal,5/26/2017,17,https://www.metalpay.com/,220,,,,,,,,,,,,,,,,,,,,,
MobileGo,5/25/2017,17,https://mobilego.io/,221,,,,,,,,,,,,,,,,,,,,,
Storj,5/25/2017,17,https://storj.io/index.html,221,,,,,,,,,,,,,,,,,,,,,
E4ROW,5/22/2017,17,https://www.e4row.co.il/,224,,,,,,,,,,,,,,,,,,,,,
Viva Coin,5/21/2017,17,https://vivaco.in/,225,,,,,,,,,,,,,,,,,,,,,
Aragon,5/17/2017,17,https://aragon.one/,229,,,,,,,,,,,,,,,,,,,,,
BitcoinGrowthFund,5/17/2017,17,https://bitcoingrowthfund.com/mcap,229,,,,,,,,,,,,,,,,,,,,,
Peerplays,5/15/2017,17,https://www.peerplays.com/,231,,,,,,,,,,,,,,,,,,,,,
Ethbits,5/15/2017,17,https://www.ethbits.com/,231,,,,,,,,,,,,,,,,,,,,,
Legends Room,5/15/2017,17,https://legendsroomlv.com/,231,,,,,,,,,,,,,,,,,,,,,
BOScoin,05/10/2017,17,https://boscoin.io/en/home/,236,,,,,,,,,,,,,,,,,,,,,
Nexxus,05/08/2017,17,http://www.nexxuscoin.com/sections/company/21/nexxuscoin/index.html,238,,,,,,,,,,,,,,,,,,,,,
Quantum Resistant Ledger,05/07/2017,17,https://theqrl.org/,239,,,,,,,,,,,,,,,,,,,,,
TokenCard,05/02/2017,17,https://tokencard.io/,244,,,,,,,,,,,,,,,,,,,,,
Creativechain,05/01/2017,17,https://www.creativechain.org,245,,,,,,,,,,,,,,,,,,,,,
Apptrade,4/30/2017,17,https://www.apptrade.io/,246,,,,,,,,,,,,,,,,,,,,,
Lunyr,4/28/2017,17,https://lunyr.com/,248,,,,,,,,,,,,,,,,,,,,,
Back to Earth,4/28/2017,17,https://backto.earth/,248,,,,,,,,,,,,,,,,,,,,,
TaaS,4/27/2017,17,https://taas.fund/,249,,,,,,,,,,,,,,,,,,,,,
Humaniq,4/27/2017,17,https://humaniq.co/,249,,,,,,,,,,,,,,,,,,,,,
Gnosis,4/24/2017,17,https://gnosis.pm/,252,,,,,,,,,,,,,,,,,,,,,
IEX.EC,4/19/2017,17,http://iex.ec/,257,,,,,,,,,,,,,,,,,,,,,
WeTrust,04/12/2017,17,https://www.wetrust.io/,264,,,,,,,,,,,,,,,,,,,,,
Blockchain Capital,04/10/2017,17,http://blockchain.capital/,266,,,,,,,,,,,,,,,,,,,,,
Aeternity,04/06/2017,17,https://www.aeternity.com/,270,,,,,,,,,,,,,,,,,,,,,
Cosmos Network,04/06/2017,17,https://cosmos.network/,270,,,,,,,,,,,,,,,,,,,,,
Cosmos,04/05/2017,17,https://cosmos.network/,271,,,,,,,,,,,,,,,,,,,,,
Matchpool,04/03/2017,17,https://matchpool.co/,273,,,,,,,,,,,,,,,,,,,,,
Equibit,3/31/2017,17,http://equibitgroup.com/,276,,,,,,,,,,,,,,,,,,,,,
Chain of Points,3/31/2017,17,https://chainofpoints.com/,276,,,,,,,,,,,,,,,,,,,,,
CashScripter,3/30/2017,17,https://www.cashscripter.com/,277,,,,,,,,,,,,,,,,,,,,,
Qtum,3/21/2017,17,https://qtum.org/en/,286,,,,,,,,,,,,,,,,,,,,,
Edgeless,3/21/2017,17,https://edgeless.io/,286,,,,,,,,,,,,,,,,,,,,,
Lykke,2/28/2017,17,https://www.lykke.com/,307,,,,,,,,,,,,,,,,,,,,,
Augmentors,2/28/2017,17,http://www.augmentorsgame.com/,307,,,,,,,,,,,,,,,,,,,,,
Lykke (2nd round),2/27/2017,17,https://www.lykke.com/,308,,,,,,,,,,,,,,,,,,,,,
Contingency,2/27/2017,17,https://contingency.tech/,308,,,,,,,,,,,,,,,,,,,,,
Etheroll,2/26/2017,17,https://etheroll.com/,309,,,,,,,,,,,,,,,,,,,,,
Melon,2/15/2017,17,https://melonport.com/,320,,,,,,,,,,,,,,,,,,,,,
Chronobank,2/14/2017,17,https://chronobank.io/,321,,,,,,,,,,,,,,,,,,,,,
Dfinity,2/13/2017,17,https://dfinity.network/,322,,,,,,,,,,,,,,,,,,,,,
Tokes,1/14/2017,17,http://cannabisrevolution.us/,352,,,,,,,,,,,,,,,,,,,,,
Wings,01/06/2017,17,https://www.wings.ai/#!/home/discover,360,,,,,,,,,,,,,,,,,,,,,
BetKing,12/31/2016,16,https://betking.io/,366,,,,,,,,,,,,,,,,,,,,,
Darcrus,12/28/2016,16,https://darcr.us/,369,,,,,,,,,,,,,,,,,,,,,
BlockCDN,12/26/2016,16,http://www.blockcdn.org/,371,,,,,,,,,,,,,,,,,,,,,
Ether.camp,12/22/2016,16,http://www.ether.camp/,375,,,,,,,,,,,,,,,,,,,,,
Virtual Accelerator,12/21/2016,16,http://www.ether.camp/,376,,,,,,,,,,,,,,,,,,,,,
Mysterium (1st round),12/18/2016,16,https://mysterium.network/,379,,,,,,,,,,,,,,,,,,,,,
vDice,12/15/2016,16,https://www.vdice.io/,382,,,,,,,,,,,,,,,,,,,,,
Ark,12/11/2016,16,https://ark.io/,386,,,,,,,,,,,,,,,,,,,,,
Golos,12/04/2016,16,https://golos.io/,393,,,,,,,,,,,,,,,,,,,,,
Incent,11/30/2016,16,https://www.incentloyalty.com/,397,,,,,,,,,,,,,,,,,,,,,
Beyond the Void,11/30/2016,16,https://www.beyond-the-void.net/,397,,,,,,,,,,,,,,,,,,,,,
MassNetwork,11/30/2016,16,https://mass.network/,397,,,,,,,,,,,,,,,,,,,,,
Arcade City,11/29/2016,16,https://arcade.city/,398,,,,,,,,,,,,,,,,,,,,,
ETCWin,11/23/2016,16,https://www.etcwin.com/,404,,,,,,,,,,,,,,,,,,,,,
Komodo,11/20/2016,16,https://komodoplatform.com/,407,,,,,,,,,,,,,,,,,,,,,
Golem,11/11/2016,16,https://golem.network/,416,,,,,,,,,,,,,,,,,,,,,
Kibo Lotto,11/09/2016,16,https://kiboplatform.net/en/landing.html,418,,,,,,,,,,,,,,,,,,,,,
Decent,11/06/2016,16,https://decent.ch/,421,,,,,,,,,,,,,,,,,,,,,
Synereo,10/17/2016,16,https://www.synereo.com/,441,,,,,,,,,,,,,,,,,,,,,
Lykke (1st round),10/09/2016,16,https://www.lykke.com/,449,,,,,,,,,,,,,,,,,,,,,
SingularDTV,10/02/2016,16,https://singulardtv.com/,456,,,,,,,,,,,,,,,,,,,,,
Iconomi,9/26/2016,16,https://www.iconomi.net/,462,,,,,,,,,,,,,,,,,,,,,
First Blood,9/26/2016,16,https://firstblood.io/sale/,462,,,,,,,,,,,,,,,,,,,,,
Antshares,09/07/2016,16,https://www.antshares.org/,481,,,,,,,,,,,,,,,,,,,,,
Metaverse,09/05/2016,16,http://viewfin.com/index.html#team,483,,,,,,,,,,,,,,,,,,,,,
BlockPay,09/05/2016,16,https://blockpay.ch/,483,,,,,,,,,,,,,,,,,,,,,
Elastic,8/19/2016,16,http://www.elastic-project.com/,500,,,,,,,,,,,,,,,,,,,,,
HEAT,8/16/2016,16,http://heatledger.com/,503,,,,,,,,,,,,,,,,,,,,,
Icoo,7/30/2016,16,https://www.icoo.io/,520,,,,,,,,,,,,,,,,,,,,,
Xaurum,7/16/2016,16,https://rico.xaurum.org/,534,,,,,,,,,,,,,,,,,,,,,
Stratis,7/16/2016,16,https://stratisplatform.com/,534,,,,,,,,,,,,,,,,,,,,,
Breakout Coin,07/07/2016,16,http://www.breakoutcoin.com/,543,,,,,,,,,,,,,,,,,,,,,
Waves,06/01/2016,16,https://wavesplatform.com/downloads.html#,579,,,,,,,,,,,,,,,,,,,,,
Rise,06/01/2016,16,https://rise.vision/,579,,,,,,,,,,,,,,,,,,,,,
Plutus,06/01/2016,16,https://getplutons.plutus.it/,579,,,,,,,,,,,,,,,,,,,,,
Mycelium  (2nd round),5/17/2016,16,https://wallet.mycelium.com/,594,,,,,,,,,,,,,,,,,,,,,
The DAO,05/01/2016,16,https://forum.daohub.org/,610,,,,,,,,,,,,,,,,,,,,,
Project Decorum,05/01/2016,16,http://www.project-decorum.com/,610,,,,,,,,,,,,,,,,,,,,,
Ionomy,04/01/2016,16,https://ionomy.com/,640,,,,,,,,,,,,,,,,,,,,,
DigixGlobal,3/29/2016,16,https://dgx.io/,643,,,,,,,,,,,,,,,,,,,,,
DigixDAO,3/28/2016,16,https://www.dgx.io/,644,,,,,,,,,,,,,,,,,,,,,
Lisk,3/21/2016,16,https://lisk.io/,651,,,,,,,,,,,,,,,,,,,,,
Obits,01/01/2016,16,https://obits.io/,731,,,,,,,,,,,,,,,,,,,,,
Iota,12/20/2015,15,https://iota.org/,743,,,,,,,,,,,,,,,,,,,,,
Augur,10/01/2015,15,https://augur.net/,823,,,,,,,,,,,,,,,,,,,,,
